COLOR NAME2	HEX
Link Gray	7F7E72
Thunderous	6D6C62
Cast Iron	64645A
Spare White	E4E4DD
Sea Salt	CDD2CA
Comfort Gray	BEC3BB
Oyster Bay	AEB3A9
Retreat	7A8076
Pewter Green	5E6259
Ripe Olive	44483D
Window Pane	D7DFD8
Rainwashed	C2CDC5
Quietude	ADBBB2
Halcyon Green	9BAAA2
Underseas	7C8E87
Rocky River	5E706A
Jasper	343B36
Topsail	DAE2E0
Tradewind	C2CFCF
Rain	ABBEBF
Interesting Aqua	9BAFB2
Moody Blue	7A9192
Riverway	5D7274
Still Water	4A5D5F
Mountain Air	D8E0DF
Sleepy Blue	BCCBCE
Languid Blue	A4B7BD
Meditative	96AAB0
Refuge	607D84
Tempe Star	47626A
Rainstorm	244653
Rock Candy	DEE1DF
Misty	CDD2D2
Samovar Silver	B8BEBE
Uncertain Gray	A9B0B1
Foggy Day	727C7F
Grays Harbor	596368
Dark Night	23383F
Icicle	DBDFE0
Upward	BFC9D0
Windy Blue	AABAC6
Aleutian	98A9B7
Bracing Blue	768B9A
Distance	5D6F7F
Naval	2F3D4C
Quicksilver	DDE2E0
North Star	CAD0D2
Krypton	B8C0C3
Jubilee	ADB5B9
Storm Cloud	7A848D
Granite Peak	606B75
Outerspace	586168
Ice Cube	E3E4E1
Olympus White	D4D8D7
Lazy Gray	BEC1C3
Morning Fog	A8AEB1
Serious Gray	7D848B
Gibraltar	626970
Tricorn Black	2F2F30
Spatial White	DDDCDB
Unique Gray	CBC9C9
Swanky Gray	B5B1B5
Mysterious Mauve	A6A3A9
Exclusive Plum	736F78
Midnight	5D5962
Quixotic Plum	4A4653
Sensitive Tint	CEC9CC
Veiled Violet	BDB5B9
Beguiling Mauve	AFA7AC
Soulmate	85777B
Expressive Plum	695C62
Plum Brown	4E4247
Destiny	CFC9C8
Fashionable Gray	BDB8B8
Mystical Shade	AEA9AA
Special Gray	7B787D
Cloak Gray	605E63
Black Swan	3A373E
Wallflower	DBCFD4
Mauve Finery	CBB8C0
Thistle	AA8E9A
Plum Dandy	8B6878
Grape Harvest	7E5A6D
Mature Grape	5F3F54
Rosebud	E0CDD1
Delightful	D2B6BE
Rosé	B995A1
Moss Rose	9E6D79
Berry Bush	8D5869
Fabulous Grape	6D344F
Demure	E8D4D5
Fading Rose	DABDC1
Rose Embroidery	C79EA2
Concerto	9E6B75
Aged Wine	895460
Burgundy	63333E
Innocence	EBD1CF
Rose Colored	DCB6B5
Pressed Flower	C39393
Rambling Rose	995D62
Cordial	864C52
Fine Wine	723941
Charming Pink	EDD3D2
Lotus Flower	E6BDBD
Memorable Rose	CF8A8D
Redbud	AD5E65
Kirsch Red	974953
Luxurious Red	863A42
Rosy Outlook	EBCECB
Gracious Rose	E3B7B1
Resounding Rose	CD8E89
Reddish	B56966
Bravado Red	A0524E
Red Bay	8E3738
Intimate White	F0E1D8
Romance	EBCFC3
Mellow Coral	E3B5A8
Constant Coral	CD8E7F
Henna Shade	B3675D
Bold Brick	A0584F
Fireweed	7B3730
Faint Coral	EEDED5
Quaint Peche	EACDC1
Smoky Salmon	E2B6A7
Coral Island	CE9382
Foxy	A85E53
Flower Pot	8F4438
Fired Brick	83382A
Nearly Peach	EFDED1
Spun Sugar	EDD2C0
Warming Peach	E4B9A2
Persimmon	D9987C
Baked Clay	C1785C
Red Cent	AD654C
Spicy Hue	994B35
Alluring White	EFE1D2
Peach Fuzz	ECCFBB
Sumptuous Peach	E5B99B
Fame Orange	DB9C7B
Chrysanthemum	C47B5B
Reynard	B46848
Pennywise	A2583A
Intricate Ivory	EDDDCA
Sweet Orange	EBCCB3
Soft Apricot	E0B392
Chivalry Copper	D4966E
Armagnac	C38058
Truepenny	B46C42
Copper Mountain	A6613C
Choice Cream	F0E1D0
Creamery	EDD0B6
Sociable	E8BE9B
Folksy Gold	D69969
Autumnal	CD8C5D
Tigereye	BB7748
Gingery	B06C3E
Eggwhite	F3E5D2
Cachet Cream	F3D9BA
Ambitious Amber	F0CB97
Viva Gold	E3AC72
Bakelite Gold	D7995D
Tassel	C6884A
Saucy Gold	B6743B
Vanillin	F2E3CA
Inviting Ivory	F2D5B0
Harvester	EDC38E
Torchlight	E5AE6B
Honeycomb	D59858
Gold Coast	C78538
Butterscotch	B67D3C
Crisp Linen	F3E6D4
Jersey Cream	F5DEBB
Humble Gold	EDC796
Anjou Pear	DDAC6D
Ceremonial Gold	D69E59
Golden Rule	CC9249
Cut the Mustard	BA7F38
Dover White	F0EADC
Napery	EFDDC1
Compatible Cream	E8C89E
Golden Fleece	D6AD78
Butternut	CC9B5C
Bosc Pear	C09056
Gallant Gold	A4763C
Vital Yellow	EDE0C5
Convivial Yellow	E9D6B0
Sequin	E1C28D
Alchemy	C99E53
Different Gold	BC934D
Nankeen	AA803A
Sconce Gold	996F32
Chamomile	E9E0C5
Lucent Yellow	E4D0A5
Independent Gold	D2BA83
Antiquity	C2A462
Escapade Gold	B89B59
Grandiose	9C7F41
Fervent Brass	95793D
Ionic Ivory	E7DFC5
Ancestral Gold	DDCDA6
Wheat Grass	CBB584
Edgy Gold	B1975F
Brassy	9D8344
Bengal Grass	8E773F
Eminent Bronze	7A6841
Restoration Ivory	E9E1CA
Rice Paddy	DFD4B0
Hearts of Palm	CFC291
Sassy Green	BBA86A
Tupelo Tree	9C9152
Rural Green	8D844D
Saguaro	655F2D
Queen Anne's Lace	ECEAD5
Celery	E0DDBD
Shagreen	CBC99D
Ryegrass	AEAC7A
Tansy Green	95945C
Relentless Olive	71713E
Basque Green	5F6033
Sprout	E4E4CE
Honeydew	DBDDBD
Baize Green	C7CDA8
Great Green	ABB486
Leapfrog	88915D
Garden Spot	6D7645
Inverness	576238
Spinach White	E4E8DA
Gratifying Green	DAE2CD
Bonsai Tint	C5D1B2
Haven	A3B48C
Dill	788D60
Greenfield	60724F
Courtyard	475842
White Mint	E0E7DA
Supreme Green	CFDDC7
Relish	B3CBAA
Lounge Green	8BA97F
Garden Grove	5E7F57
Arugula	42603C
Evergreens	405840
Topiary Tint	C8D8C4
Easy Green	ACC2A8
Nurture Green	98B092
Inland	6C8867
Cilantro	537150
Shamrock	205134
Fleeting Green	D8E2D8
Slow Green	C6D5C9
Kind Green	AAC2B3
Restful	91AF9D
Jadite	61826C
Kale Green	4F6A56
Isle of Pines	3D5541
Green Trance	D7E4DB
Breaktime	C4D9CE
Aloe	ACCABC
Spearmint	94B5A6
Grandview	6B927F
Kendal Green	547867
Hunt Club	2A4F43
Waterscape	BFD2C9
Hazel	A8C1B7
Composed	7EA298
Surf Green	5F887D
Raging Sea	476F65
Country Squire	124A42
Glimmer	E0E7E2
Tidewater	C3D7D3
Watery	B4CCC9
Drizzle	8CAEAB
Lagoon	518682
Green Bay	2E6864
Cape Verde	01554F
Meander Blue	BEDBD8
Raindrop	9EC6C6
Reflecting Pool	7BB1B2
Cloudburst	5C9598
Grand Canal	3C797D
Really Teal	016367
Open Air	C7DFE0
Jetstream	B0D2D6
Ebbtide	84B4BE
Lakeshore	5B96A2
Great Falls	217786
Oceanside	015A6B
Blue Horizon	D8E7E6
Byte Blue	C5DCE0
Stream	ADCCD3
Open Seas	83AFBC
Manitou Blue	5B92A2
Loch Blue	2F778B
Bosporus	015D75
Sky High	DCE7E8
Atmospheric	C2DAE0
Vast Sky	A9C9D7
Resolute Blue	85B0C4
Secure Blue	5389A1
Georgian Bay	22657F
Loyal Blue	01455E
Snowdrop	E0E8E7
Balmy	C5D8DE
Take Five	B3C9D3
Respite	97B4C3
Leisure Blue	6A8EA1
Down Pour	43718B
Regatta	215772
Hinting Blue	CED9DD
Honest Blue	B2C7D3
Notable Hue	8BA7BB
Sporty Blue	6A8AA4
Denim	506B84
Commodore	25476A
Rarified Air	E1E6E6
Icelandic	CBD8E1
Blissful Blue	B2C8D8
Cosmos	8EA9C2
Scanda	6B8CA9
Revel Blue	4C6B8A
Indigo	284A70
Mild Blue	CBD5DB
Icy	BBC7D2
Solitude	99A7B8
Searching Blue	6C7F9A
Luxe Blue	516582
Dignified	3B496D
Starry Night	D6D9DE
Daydream	BDC3CD
Vesper Violet	99A0B2
Soulful Blue	757C91
Mesmerize	5D657B
Majestic Purple	3B3C5A
Silver Peony	DAD6DB
Grape Mist	C5C0C9
Ash Violet	A29BAA
Mythical	7E778E
Purple Passage	645E77
Dewberry	3E385A
Lite Lavender	E0DADF
Enchant	D1C6D2
Obi Lilac	B0A3B6
Wood Violet	7A6B85
Plummy	675A75
Concord Grape	443757
Teaberry	EBD1DB
Irresistible	E3C0CF
Rosebay	CB9AAD
Red Clover	B87E93
Grandeur Plum	92576F
Framboise	7C3655
Lighthearted Pink	EDD5DD
Childlike	E8C0CF
Haute Pink	D899B1
Cyclamen	C47B95
Ruby Shade	A2566F
Juneberry	854158
Priscilla	F1D3DA
Azalea Flower	EFC0CB
Jaipur Pink	E392A1
Tuberose	D47C8C
Gala Pink	B04B63
Cerise	99324E
Impatiens Petal	F1D2D7
In the Pink	F0BCC9
Cheery	EB92A3
Coming up Roses	DD7788
Heartfelt	BD4C5F
Valentine	A53A4E
Alyssum	F2D5D7
Loveable	F0C1C6
Amaryllis	ED939D
Grenadine	D66972
Coral Bells	BB4B51
Poinsettia	9D373C
Bella Pink	F1C6C4
Hopeful	F0B3B2
Dishy Coral	ED9190
Begonia	D76C6E
Enticing Red	B74E4F
Tanager	A43834
Oleander	F2CCC5
Youthful Coral	F0AFA8
Charisma	EE9489
Coral Reef	D9766C
Red Tomato	B24743
Rave Red	A13B34
Koral Kicks	F2D1C3
Jovial	F2B8A7
Ravishing Coral	E79580
Lei Flower	D87B6A
Quite Coral	C76356
Peppery	B85444
Blushing	F0D1C3
Cosmetic Peach	F3C1AB
Sockeye	E49780
Rejuvenate	DD7861
Emotional	C65F47
Hearty Orange	B44B34
Peach Blossom	F3D0BD
Certain Peach	F2BDA2
Sunset	E2946F
Emberglow	D67C56
Robust Orange	C4633E
Jalapeño	B1533C
Naive Peach	F3D3BF
Neighborly Peach	F3C1A3
Inventive Orange	E89D6F
Copper Harbor	D57E52
Determined Orange	C56639
Husky Orange	BB613E
Flattering Peach	F4D3B3
Avid Apricot	F4C69F
Tangerine	F2AC78
Outgoing Orange	E6955F
Rhumba Orange	CB7841
Yam	C36F3E
Champagne	F2E3CE
Flan	F4D4AF
Delicious Melon	F5C894
Surprise Amber	EFB57A
Adventure Orange	E69F5F
Serape	D88B4D
Amber Wave	D28240
Welcome White	F3E3CA
Captivating Cream	F4D9B1
Honey Blush	F5CF9B
Papaya	EFB97B
Summer Day	EAAA62
Saffron Thread	DF984E
Marigold	D28233
Gardenia	F3E2C9
Enjoyable Yellow	F5D6A9
Afterglow	F6CD8E
Sunrise	F4BF77
Yarrow	EBAD5E
Gold Crest	DF9938
Curry	D88F32
Morning Sun	F3E6CE
Banana Cream	F5DEAF
Jonquil	F7D391
Afternoon	FBCB78
Butterfield	F7BE5B
Goldenrod	F2AF46
Sunflower	E39A33
Full Moon	F4E3BC
Friendly Yellow	F5E0B1
Butter Up	F6DDA3
June Day	F6C973
Bee	F1BA55
Brittlebush	EAAE47
Trinket	D69835
Lemon Chiffon	F5E5BC
Lantern Light	F4E1AE
Solaria	F5D68F
Overjoy	EEC25F
Gambol Gold	E1B047
